pickup_location,destination,pickup_lat,pickup_lng,dropoff_lat,dropoff_lng,distance_km,duration_minutes,traffic_level,weather_condition,transport_type,pickup_hour,is_weekend,fare_ngn
CMS (Marina),Berger,6.4549,3.3886,6.642,3.343,26.97,153.1,gridlock,sunny,keke,11,0,7812.0
Ojota,Yaba,6.582,3.388,6.5158,3.3892,9.64,27.5,moderate,sunny,keke,1,1,1671.0
Maryland,Ikeja,6.5783,3.3676,6.6018,3.3515,3.88,14.0,heavy,sunny,uber,15,0,2422.0
Ikeja,Victoria Island,6.6018,3.3515,6.4281,3.4219,25.02,66.3,moderate,sunny,danfo,18,1,2917.0
Maryland,CMS (Marina),6.5783,3.3676,6.4549,3.3886,17.22,67.6,heavy,rainy,uber,14,0,7232.0
Surulere,Yaba,6.4969,3.355,6.5158,3.3892,5.28,9.1,low,cloudy,keke,17,0,990.0
Ikeja,Lekki,6.6018,3.3515,6.4474,3.5562,36.04,135.9,heavy,cloudy,danfo,18,0,5190.0
Victoria Island,CMS (Marina),6.4281,3.4219,6.4549,3.3886,6.41,11.7,low,rainy,uber,13,0,2174.0
Murtala Muhammed Airport,Ikeja,6.5774,3.3212,6.6018,3.3515,5.62,10.7,low,sunny,uber,9,0,1614.0
Surulere,Berger,6.4969,3.355,6.642,3.343,23.26,42.3,low,sunny,uber,12,0,4858.0
Berger,Ojota,6.642,3.343,6.582,3.388,11.37,24.9,moderate,thunderstorm,brt,19,1,986.0
Lekki,Berger,6.4474,3.5562,6.642,3.343,38.8,97.7,moderate,cloudy,brt,14,0,2313.0
CMS (Marina),Berger,6.4549,3.3886,6.642,3.343,27.22,48.2,low,sunny,keke,12,0,3003.0
Oshodi,Ajah,6.5489,3.3286,6.4683,3.6015,43.1,261.5,gridlock,sunny,uber,13,1,23146.0
Victoria Island,Surulere,6.4281,3.4219,6.4969,3.355,12.68,33.0,moderate,sunny,taxi,7,0,4209.0
Oshodi,Ajah,6.5489,3.3286,6.4683,3.6015,37.96,95.6,moderate,cloudy,bolt,8,0,11742.0
Surulere,CMS (Marina),6.4969,3.355,6.4549,3.3886,7.9,15.8,low,cloudy,taxi,14,1,1877.0
Ikeja,Ikoyi,6.6018,3.3515,6.4541,3.435,22.42,75.5,heavy,rainy,uber,10,1,9325.0
Lekki,Ikeja,6.4474,3.5562,6.6018,3.3515,35.94,143.4,heavy,sunny,keke,15,0,8476.0
CMS (Marina),Ajah,6.4549,3.3886,6.4683,3.6015,31.05,109.0,heavy,sunny,uber,12,0,11347.0
CMS (Marina),Victoria Island,6.4549,3.3886,6.4281,3.4219,6.18,20.6,heavy,cloudy,bolt,14,0,2852.0
Lekki,Ojota,6.4474,3.5562,6.582,3.388,29.85,70.9,moderate,rainy,brt,17,0,2234.0
Ikoyi,Ojota,6.4541,3.435,6.582,3.388,18.81,67.7,heavy,cloudy,danfo,7,0,2764.0
Surulere,Oshodi,6.4969,3.355,6.5489,3.3286,7.55,14.0,low,cloudy,keke,18,0,1219.0
Ojota,Oshodi,6.582,3.388,6.5489,3.3286,8.9,21.9,moderate,sunny,taxi,6,0,3121.0
Oshodi,CMS (Marina),6.5489,3.3286,6.4549,3.3886,14.46,41.6,moderate,cloudy,bolt,12,0,4319.0
Maryland,Ajah,6.5783,3.3676,6.4683,3.6015,37.56,136.9,heavy,rainy,danfo,15,0,6088.0
Lekki,Maryland,6.4474,3.5562,6.5783,3.3676,31.51,116.3,heavy,rainy,uber,12,0,13512.0
CMS (Marina),Oshodi,6.4549,3.3886,6.5489,3.3286,15.25,42.8,moderate,cloudy,taxi,10,0,3864.0
Murtala Muhammed Airport,Lekki,6.5774,3.3212,6.4474,3.5562,42.69,100.1,moderate,sunny,taxi,12,1,9666.0
Maryland,Oshodi,6.5783,3.3676,6.5489,3.3286,6.66,21.6,heavy,cloudy,taxi,15,0,2979.0
Ikeja,Ikoyi,6.6018,3.3515,6.4541,3.435,23.53,36.4,low,rainy,keke,13,0,3154.0
Victoria Island,CMS (Marina),6.4281,3.4219,6.4549,3.3886,6.37,17.9,moderate,cloudy,uber,3,0,2818.0
Murtala Muhammed Airport,Yaba,6.5774,3.3212,6.5158,3.3892,12.97,89.5,gridlock,sunny,bolt,17,0,9849.0
Murtala Muhammed Airport,CMS (Marina),6.5774,3.3212,6.4549,3.3886,19.24,32.5,low,thunderstorm,brt,23,0,1247.0
Yaba,Maryland,6.5158,3.3892,6.5783,3.3676,9.48,35.4,heavy,sunny,bolt,14,1,4185.0
CMS (Marina),Lekki,6.4549,3.3886,6.4474,3.5562,24.48,49.1,low,rainy,bolt,18,0,6944.0
Ikeja,Yaba,6.6018,3.3515,6.5158,3.3892,15.07,35.4,moderate,sunny,keke,7,1,2877.0
Ojota,Murtala Muhammed Airport,6.582,3.388,6.5774,3.3212,9.09,28.3,heavy,sunny,uber,8,0,4640.0
Oshodi,Lekki,6.5489,3.3286,6.4474,3.5562,37.4,243.4,gridlock,sunny,danfo,7,1,8071.0
Ojota,Ajah,6.582,3.388,6.4683,3.6015,34.11,233.5,gridlock,rainy,brt,18,0,5438.0
CMS (Marina),Ikeja,6.4549,3.3886,6.6018,3.3515,22.02,78.5,heavy,sunny,brt,2,0,1747.0
Yaba,CMS (Marina),6.5158,3.3892,6.4549,3.3886,8.45,22.6,moderate,cloudy,brt,12,0,571.0
Yaba,Maryland,6.5158,3.3892,6.5783,3.3676,9.37,18.3,low,cloudy,brt,15,0,604.0
Surulere,Ojota,6.4969,3.355,6.582,3.388,11.88,34.2,moderate,sunny,keke,21,1,1983.0
Yaba,CMS (Marina),6.5158,3.3892,6.4549,3.3886,9.34,37.3,heavy,sunny,danfo,9,1,1348.0
Berger,Maryland,6.642,3.343,6.5783,3.3676,9.03,15.8,low,thunderstorm,uber,5,1,3152.0
Lekki,Victoria Island,6.4474,3.5562,6.4281,3.4219,20.27,47.1,moderate,sunny,brt,11,1,1353.0
Oshodi,Ikeja,6.5489,3.3286,6.6018,3.3515,7.43,20.8,moderate,rainy,danfo,0,0,909.0
Victoria Island,Ojota,6.4281,3.4219,6.582,3.388,23.68,41.9,low,sunny,taxi,13,1,4973.0
Surulere,Oshodi,6.4969,3.355,6.5489,3.3286,8.57,20.5,moderate,cloudy,brt,8,1,726.0
Lekki,CMS (Marina),6.4474,3.5562,6.4549,3.3886,21.66,78.5,heavy,rainy,brt,10,1,2129.0
Berger,Ikoyi,6.642,3.343,6.4541,3.435,32.2,106.2,heavy,sunny,uber,6,0,13973.0
Lekki,Oshodi,6.4474,3.5562,6.5489,3.3286,32.89,234.9,gridlock,cloudy,keke,13,0,10196.0
Ajah,Berger,6.4683,3.6015,6.642,3.343,40.46,150.7,heavy,sunny,keke,6,0,9494.0
Murtala Muhammed Airport,Ikeja,6.5774,3.3212,6.6018,3.3515,5.2,18.1,heavy,cloudy,brt,19,0,488.0
Surulere,Oshodi,6.4969,3.355,6.5489,3.3286,7.68,51.2,gridlock,cloudy,keke,10,0,2712.0
Ikoyi,Victoria Island,6.4541,3.435,6.4281,3.4219,4.24,11.8,moderate,sunny,uber,11,0,1860.0
Surulere,Ajah,6.4969,3.355,6.4683,3.6015,34.11,77.3,moderate,sunny,taxi,7,1,9494.0
Yaba,Surulere,6.5158,3.3892,6.4969,3.355,5.4,13.8,moderate,sunny,keke,21,0,1020.0
Oshodi,Berger,6.5489,3.3286,6.642,3.343,14.37,23.4,low,rainy,keke,15,0,2436.0
Berger,Murtala Muhammed Airport,6.642,3.343,6.5774,3.3212,9.9,67.1,gridlock,cloudy,taxi,10,1,6010.0
Murtala Muhammed Airport,Surulere,6.5774,3.3212,6.4969,3.355,12.63,25.5,low,cloudy,uber,20,1,3127.0
Maryland,Ikoyi,6.5783,3.3676,6.4541,3.435,18.1,59.5,heavy,cloudy,brt,12,0,1498.0
Yaba,Ikeja,6.5158,3.3892,6.6018,3.3515,14.87,27.0,low,sunny,brt,17,0,870.0
Ikoyi,Victoria Island,6.4541,3.435,6.4281,3.4219,4.27,8.4,low,cloudy,danfo,14,0,422.0
Ikoyi,CMS (Marina),6.4541,3.435,6.4549,3.3886,6.75,20.8,heavy,rainy,taxi,18,0,3398.0
Ikeja,Maryland,6.6018,3.3515,6.5783,3.3676,4.51,9.0,low,rainy,bolt,11,0,1724.0
Maryland,Ojota,6.5783,3.3676,6.582,3.388,3.09,22.0,gridlock,sunny,bolt,13,1,2909.0
Lekki,Yaba,6.4474,3.5562,6.5158,3.3892,26.33,102.6,heavy,sunny,brt,8,0,2681.0
Oshodi,Ikeja,6.5489,3.3286,6.6018,3.3515,8.33,16.4,low,sunny,uber,8,0,2862.0
Ajah,Murtala Muhammed Airport,6.4683,3.6015,6.5774,3.3212,44.57,126.5,moderate,sunny,keke,11,0,6509.0
CMS (Marina),Ojota,6.4549,3.3886,6.582,3.388,17.51,55.2,heavy,sunny,bolt,15,0,7168.0
Ajah,Ikeja,6.4683,3.6015,6.6018,3.3515,36.92,82.5,moderate,rainy,uber,3,0,12199.0
Ikoyi,Ikeja,6.4541,3.435,6.6018,3.3515,21.81,59.4,moderate,cloudy,uber,19,0,6252.0
